,Unnamed: 0,French,English
0,0,histoire,history
1,1,chercher,search
2,2,seulement,only
3,4,pensais,thought
4,5,aide,help
5,7,genre,kind
6,8,mois,month
7,9,frère,brother
8,10,laisser,let
9,11,car,because
10,12,mettre,to put
11,13,aucun,no
12,14,laisse,leash
13,15,eux,them
14,16,chaque,each
15,17,arrivé,come
16,18,devrait,should
17,19,bébé,baby
18,20,longtemps,long time
19,21,heures,hours
20,22,vont,will
21,23,aucune,any
22,24,place,square
23,25,parle,speak
24,26,compris,understood
25,28,étaient,were
26,29,attention,Warning
27,30,voici,here is
28,31,affaire,case
29,32,donner,give
30,33,type,type
31,34,leurs,their
32,36,train,train
33,37,corps,body
34,38,endroit,place
35,39,yeux,eyes
36,40,façon,way
37,41,écoute,listen
38,42,dont,whose
39,43,premier,first
40,44,perdu,lost
41,45,main,hand
42,46,première,first
43,47,côté,side
44,48,pouvoir,power
45,49,vieux,old
46,50,sois,be
47,51,tiens,here
48,52,matin,morning
49,53,tellement,so much
50,54,enfant,child
51,55,point,point
52,56,suite,after
53,57,venez,come
54,58,devant,in front of
55,59,vers,towards
56,60,minutes,minutes
57,61,mis,placed
58,62,belle,beautiful
59,63,droit,law
60,66,enfin,finally
61,67,eau,water
62,69,parti,left
63,70,nouvelle,new
64,71,boulot,job
65,72,dirait,would say
66,73,terre,Earth
67,74,compte,account
68,75,donne,given
69,76,loin,far
70,77,fin,end
71,78,croire,believe
72,79,chérie,sweetheart
73,80,gros,large
74,81,plutôt,rather
75,82,aura,will have
76,84,jouer,to play
77,85,bureau,office
